Race_ID,Horse,Predicted_Probability
58,Signora Bellissima,0.05487092148135997
58,Sonnerie Power,0.1318133353812863
58,Ribba Hill,0.06461109044876882
58,Orange N Blue,0.0053171019732865974
58,Ever Hopefull,0.046115822635098794
58,Percy Willis,0.030471860623858222
58,Hartswood,0.029505884464017647
58,Urban Road,0.049009554500688425
58,Alpine Sierra,0.042123301598485596
58,Midnight Lion,0.3091665101988627
58,Life On The Rocks,0.23699461669428687
59,Fleurman,0.1007320569746146
59,Cello,0.38430638028210207
59,Dreams Adozen,0.0826373200494937
59,Hedonista,0.3123068236445824
59,Something,0.1175074552184613
59,Quercus Robur,0.0025099638307458346
60,Albasheer,0.19583115131156412
60,Saint Lawrence,0.016555847587181465
60,Malc,0.09358005837545945
60,Juan Les Pins,0.017184863413763112
60,Amazonian Dream,0.21667835257407647
60,Fire Demon,0.05673071429190414
60,Rohaan,0.0167704278881673
60,We Never Stop,0.17103976729047526
60,The Caltonian,0.005387829816028303
60,Secret Guest,0.21024098745138037
61,Popmaster,0.26403657635981215
61,Symbol Of Light,0.039847002948046044
61,Qazaq,0.1681870787770659
61,Blue Prince,0.03862627615507493
61,Empirestateofmind,0.07182629643714097
61,Apiarist,0.27462164377845993
61,Storm Star,0.1428551255443999
62,Dicko The Legend,0.06390177720948273
62,Showtime Mahomes,0.2659366658367174
62,Novak,0.03960735984474323
62,Blackjack,0.11100662280478982
62,Moyola,0.046499783658759286
62,Too Much,0.048568628189749156
62,Rory,0.024258806655788823
62,Howzak,0.07340697100647799
62,Profit Street,0.13274371927408732
62,Kats Bob,0.02092413017931765
62,Wee Fat Mac,0.11003349819226382
62,Bellagio Man,0.06311203714782275
63,Papa Don't Preach,0.07244851144137149
63,The Gay Blade,0.12593002887637603
63,King Of The Jungle,0.2812004601124163
63,Show Me Show Me,0.2165379512259568
63,Stone Of Destiny,0.013505220961539497
63,Hard Nut,0.021987489222398602
63,Doon The Glen,0.20320981658730825
63,Rockley Point,0.014334908765912955
63,Elzaal,0.05084561280672008
64,Jamie Bond,0.14489740218185337
64,Masterclass,0.06631760496027625
64,Rogue De Vega,0.20255367114729936
64,Oriental Prince,0.0836654979941486
64,Three Beauz,0.05804160101381783
64,Piperstown,0.16935384245430216
64,Pockley,0.20439919812341312
64,Shatin Venture,0.0707711821248893
1939,Triple Force,0.07212714658653839
1939,Come On John,0.40340893216196866
1939,Fifty Sent,0.05153689748934396
1939,Treasure Storm,0.010281741372954116
1939,Inspiring Speeches,0.23152673154843942
1939,Violeta,0.1411689983461677
1939,Dragons Will Rise,0.04146539346426307
1939,Jujubella,0.023013301173196825
1939,Blackstone Cliff,0.023623369031896928
1939,Tiger Trap,0.0018474888252309665
1940,Lahab,0.08856121544722101
1940,Brazilian Rose,0.16608219844974928
1940,McCauley's Tavern,0.12582469234205806
1940,Spartan Fighter,0.09141492584598382
1940,Art Fantastique,0.041221611104298714
1940,Noble Consort,0.2759352699623906
1940,Athollblair Boy,0.019652238840997996
1940,Thunderstorm Katie,0.17355217179026358
1940,Mr Stanley,0.017755676217036973
1941,Jimmy Knocker,0.015323445004709552
1941,Yoshimi,0.05838463778955789
1941,Giselles Izzy,0.015927946195440558
1941,Oriental Prince,0.5435981671370667
1941,Korroor,0.09242359657727944
1941,Hurstwood,0.19158170630065224
1941,Sydney Bay,0.037196883039255224
1941,Badosa,0.04556361795603837
1942,Jump The Gun,0.06500535890430985
1942,Bobby Joe Leg,0.15129571873760175
1942,Kalganov,0.0215669293091825
1942,Streak Lightning,0.01155015604391387
1942,Finn Ironside,0.08399261354357039
1942,Angel Of Antrim,0.32799536335349344
1942,Pallas Lord,0.04558272538601937
1942,Conquest Of Power,0.03754890530221171
1942,Impeach,0.09117087290318654
1942,Ravensbourne,0.15052979711978615
1942,Mickey Mongoose,0.01376155939672451
1943,Sanat,0.11623439920858182
1943,Thunder Star,0.0796976274699955
1943,Wrestling Revenue,0.26660033916602305
1943,Water Of Leith,0.04885180125293964
1943,Rodborough,0.14269845100830988
1943,Castan,0.2918444538051502
1943,Gustav Graves,0.05407292808899987
3821,Rainyniteingeorgia,0.05021047110669075
3821,Diamond Dreamer,0.39251641344526084
3821,Nogo's Dream,0.045881191723473526
3821,Master Of My Fate,0.24622955671911917
3821,Level Up,0.05847671663761334
3821,Harb,0.11328355620381628
3821,Gogo Yubari,0.04506009253587912
3821,Pop Dancer,0.04834200162814702
3822,True Courage,0.07565130657281047
3822,Knockbrex,0.06568765588357982
3822,Crystal Mariner,0.04839734808095504
3822,Therapist,0.13920771675560414
3822,Damascus Steel,0.0698722396797302
3822,Gallant Lion,0.07559160803028428
3822,Raintown,0.2748541397103073
3822,Early Morning Dew,0.026628010023700736
3822,Hebridean Nomad,0.22410997526302795
3823,Havana Sky,0.31028626589202535
3823,Lord Rapscallion,0.16990785651575085
3823,Tadreeb,0.09884287790730445
3823,Charlie Mason,0.38527068449421714
3823,Juan Solo,0.0026158420935777768
3823,Crow's Nest,0.011597207251658978
3823,The Smiling Wolf,0.009730493308105584
3823,Lahina Bay,0.011748772537359833
3824,Sedgemoor,0.022307800490366528
3824,Flag Carrier,0.029472467057093065
3824,Secret Strength,0.014598055093086084
3824,Sonmarg,0.09448189966290134
3824,Overnight Oats,0.2836454439516448
3824,Star Pupil,0.4207864318741081
3824,Kondratiev Wave,0.11257783956239044
3824,Mount Mogan,0.022130062308409557
3825,Gordon Grey,0.035487146943592736
3825,Joycean Way,0.05292723760291072
3825,Rey De La Batalla,0.035943021185872365
3825,Tribal Wisdom,0.05771786996119312
3825,Imperial Fighter,0.10958070103360805
3825,Detroit Lion,0.0405295367469642
3825,Spectacular Style,0.22647003167746338
3825,Calanthe,0.042120299237351486
3825,Etretat,0.37231677711870065
3825,Stipulation,0.02690737849234332
3826,Gold Aura,0.1907551075527379
3826,Capstan,0.040388203197353756
